Age;Sexe ;Province;statut_matrimonial ;Duree_stage;University;Avoir_deja_entendu_cancer;source_information_cancer ;source_information_cancer_Formation_medicale;source_information_cancer_Medias;source_information_cancer_Famille_Amis;source_information_cancer_Litterature_scientifique_Livres ;source_information_cancer_Experience_clinique _durant_mon _Stages;source_information_cancer_Autre;Si-Autre_precision;Caracteristic_cancer;Caracteristic_cancer_Une_infection_aigue;Caracteristic_cancer_Une proliferation_incontrolee_de cellules_anormales;Caracteristic_cancer_Une_inflammation passagere;Caracteristic_cancer_Une reaction_allergique;Caracteristic_cancer_Autre;Si_autre_precision;Type_de_cancer_connu ;Type_de_cancer_connu_Cancer_colorectal ;Type_de_cancer_connu_Leucémie ;Type_de_cancer_connu_Retinoblastome ;Type_de_cancer_connu_cancer_du_sein ;Type_de_cancer_connu_Lymphome ;Type_de_cancer_connuMeduloblastome ;Type_de_cancer_connu_cancer_uterus ;Type_de_cancer_connu_cancer_des_ovaires ;Type_de_cancer_connu_cancer_de_poumons ;Type_de_cancer_conn_Cancer_prostate ;Type_de_cancer_connu_cancer_peau ;Type_de_cancer_connu_Aucun;Type_de_cancer_connu_Autre;Type_de_cancer_connu_Si_autre_precision;principaux_facteurs_de_risque ;principaux_facteurs_de_risque_Tabagiste ;principaux_facteurs_de_risque_Consomation_d_alocool ;principaux_facteurs_de_risque_Mauvaise_alimentation;principaux_facteurs_de_risque_Manque_d_exercice_physique;principaux_facteurs_de_risque_Infections;principaux_facteurs_de_risque_Exposition_substances chimiques;principaux_facteurs_de_risque_genetique_hereditaire;principaux_facteurs_de_risque_Vieillissement;principaux_facteurs_de_risque_Mythes culturels_sorcellerie;principaux_facteurs_de_risque_Aucun;principaux_facteurs_de_risque_je_ne_sais_pas ;principaux_facteurs_de_risque_Autre;principaux_facteurs_de_risque_Si_autre_precision;Le_cancer_touche_uniquement_les_personnes_agees;La _detection_precoce ameliore_les_resultats_du_traitement;Le_tabagisme_est_la_cause_la_plus_frequente du_cancer;Certaines_vaccination_peuvent_prevenir_certains_cancers;utilisation_d_Ecrans_solaires_reduit le_cancer_de_la_peau;Le_cancer_est_toujours_hereditaire;Le_cancer_du_sein_peut toucher_les hommes;Hpylori_peut_conduire_au_cancer_gastrique;les_moyens_de_prevention_ou_de_depistage_du_cancer;les_moyens_de_prevention_ou_de_depistage_du_cancer_Vaccination;les_moyens_de_prevention_ou_de_depistage_du_cancer_Depistage_regulier;les_moyens_de_prevention_ou_de_depistage_du_cancer_Arret_du_tabac;les_moyens_de_prevention_ou_de_depistage_du_cancer_Alimentation_saine_et_exercice_physique ;les_moyens_de_prevention_ou_de_depistage_du_cancer_Evitement_des expositions_environnementales;les_moyens_de_prevention_ou_de_depistage_du_cancer_Examen_genetiques_pour_les_familles_a_risque;les_moyens_de_prevention_ou_de_depistage_du_cancer_Aucun ;les_moyens_de_prevention_ou_de_depistage_du_cancer_Autre;les_moyens_de_prevention_ou_de_depistage_du_cancer_Si autre_precision;La_vaccination_contre_le_HPV_est_prioritairement_recommandee_chez; Pense_que le_cancer_peut_etre gueri ;si_vrai_Quand;modalites_therapeutiques ;modalites_therapeutiques_Chirurgie ;modalites_therapeutiques_Chimiotherapie ;modalites_therapeutiques_Immunotherapie ;modalites_therapeutiques_Therapie_cible ;modalites_therapeutiques_Radiotherapie ;modalites_therapeutiques_traitement_paliatif ;modalites_therapeutiques_Traitement_traditionnel;modalites_therapeutiques_je_ne_sais_pas ;modalites_therapeutiques_Autre;modalites_therapeutique_Si_autre_precision;role_principal_des_soins_palliatifs;Si_autre_precision;principales_causes_de_la_mortalite_elevee_due_au_cancer_en_RDC  ;principales_causes_Diagnostic_tardif ;principales_causes_Manque_d_acces_aux_traitements ;principales_causes_Insuffisance_de_ressources;principales_causes_Niveau_d_education_de_la_population_bas ;principales_causes_Facteurs_socioculturels;principales_causes_Pauvrete_Manque de_moyens_financiers  ;principales_causes_Je_ne sais_pas;principales_causes_Aucun;principales_causes_Autre;principales_causes_Si_autre_precision;Pensez_vous_que_la_prevention_le_diagnostic_et_la_prise_en_charge_du_cancer_sont_adequates_en_RDC;Si_Non_Quels_sont_les_raison;Mesure_de_prevation_prioritaire_proposee_pour_lutter_cont_le_cancer_en_RDC;Niveau_de_priorite_accordee_a_la_lutte_contre_le_cancer_en_RDC;Pensez_vous_que_le_cancer_est_un_probleme_majeur_de_sante_publique_dans_la_sous_region_du_Kivu;Influence_des_mythes_et_traditions_sur_sur_la_gestion_du_cancer;votre_perception_generale_du_cancer;antecedent_personnel_de_cancer;antecedent_familial_de_cancer;Relation_avec_la_personne_atteinte;mode_de_traitement_observe_ou_vecu ;Evolution_observee;Poposition_pour_ameliorer_la_lutte_contre_le_cancer_dans_la_sous_region_du_Kivu
25;Masculin;Nord kivu;Marié;9;Universite catholique de Graben ;OUI;Mes cours a l' universite \ Formation médicale;1;0;0;0;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  Meduloblastome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;1;1;1;1;1;1;0;0;;Tabagiste  Consomation d'alocool  Exposition à des substances chimiques / Pollution de la nature;1;1;0;0;0;1;0;0;0;0;0;0;;Faux ;VRAI;Faux ;VRAI;Faux ;Faux ;Faux ;Faux ;Dépistage régulier (e.g., mammographie, frottis cervical);0;1;0;0;0;0;0;0;;Filles avant le début de la vie sexuelle;Faux ;;Chirurgie  Chimiotherapie  Immunotherapie  Radiotherapie  traitement paliatif ;1;1;1;0;1;1;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas  Pauvreté / Manque de moyens financiers  ;1;1;1;1;0;1;0;0;0;;Oui;;Informer la population de la clinique et prise en charge;1;VRAI;Oui , moderement ;Compliqué vu sa prolifération anarchique;Non ;Non;;;;Oui
27;Masculin;Nord kivu;celibataire ;12;Universite catholique de Graben ;OUI;Mes cours a l' universite \ Formation médicale Littérature scientifique / Livres  Expérience clinique  durant mon  Stages;1;0;0;1;1;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  Meduloblastome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;1;1;1;1;1;1;0;0;;Tabagiste  Consomation d'alocool  Infections (e.g., HPV, hépatite B/C) Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires Vieillissement ( age );1;1;0;0;1;1;1;1;0;0;0;0;;Faux ;VRAI;Faux ;VRAI;Faux ;Faux ;VRAI;Faux ;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Examen genetiques pour les familles a risque;1;1;1;0;0;1;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Therapie cible  Radiotherapie  traitement paliatif ;1;1;0;1;1;1;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Facteurs socioculturels (e.g., recours à la médecine traditionnelle)    Pauvreté / Manque de moyens financiers  ;1;1;1;0;1;1;0;0;0;;Je ne sais pas;;Multiplier les séances d'éducation de la population concernant les cancers, conseiller les dépistages réguliers, disponibilisatiin des moyens de diagnostic, de traitement et de prise en charge des cancers;3;Faux ;Oui , beaucoup;C'est une maladie grave qui nécessite une attention particulière;Non ;Non;;;;Multiplier les séances d'éducation de la population concernant les cancers, conseiller les dépistages réguliers, disponibilisatiin des moyens de diagnostic, de traitement et de prise en charge des cancers
27;Masculin;Nord kivu;celibataire ;14;Universite catholique de Graben ;OUI;Mes cours a l' universite \ Formation médicale Médias (TV, radio, internet) Famille / Amis Littérature scientifique / Livres  Expérience clinique  durant mon  Stages;1;1;1;1;1;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  Meduloblastome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;1;1;1;1;1;1;0;0;;Tabagiste  Manque d'exercice physique Infections (e.g., HPV, hépatite B/C) Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires Vieillissement ( age );1;0;0;1;1;1;1;1;0;0;0;0;;Faux ;VRAI;Faux ;VRAI;Faux ;Faux ;VRAI;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Alimentation saine et exercice physique  Évitement des expositions environnementales;1;1;1;1;1;0;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Immunotherapie  Therapie cible  Radiotherapie  traitement paliatif ;1;1;1;1;1;1;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Facteurs socioculturels (e.g., recours à la médecine traditionnelle)    Pauvreté / Manque de moyens financiers  ;1;1;1;0;1;1;0;0;0;;Non;Cfr la question 20;Dépistage;3;VRAI;Oui , moderement ;Un maladie traitable;Non ;Non;;;;Dépistage et accompagnement gouvernement
26;Masculin;Nord kivu;celibataire ;10;Universite catholique de Graben ;OUI;Littérature scientifique / Livres ;0;0;0;1;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie    cancer du sein  cancer de l'uterus  Cancer de la prostate ;1;1;0;1;0;0;1;0;0;1;0;0;0;;Tabagiste  Consomation d'alocool  Infections (e.g., HPV, hépatite B/C) Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires;1;1;0;0;1;1;1;0;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;VRAI;Faux ;VRAI;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac;1;1;1;0;0;0;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Radiotherapie  traitement paliatif ;1;1;0;0;1;1;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas ;1;0;1;1;0;0;0;0;0;;Oui;;Dépistage rapide;5;Je ne sais pas ;Oui , beaucoup;Difficile;Non ;Non;;;;Dépistage rapide
27;Masculin;Sud kivu;celibataire ;7;Universite Officielle de Bukavu ( UOB);OUI;Mes cours a l' universite \ Formation médicale;1;0;0;0;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  Meduloblastome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;1;1;1;1;1;1;0;0;;Infections (e.g., HPV, hépatite B/C) Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires Vieillissement ( age );0;0;0;0;1;1;1;1;0;0;0;0;;Faux ;VRAI;Faux ;VRAI;Je ne sais pas ;Faux ;VRAI;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Évitement des expositions environnementales Examen genetiques pour les familles a risque;1;1;1;0;1;1;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Immunotherapie  Therapie cible  Radiotherapie ;1;1;1;1;1;0;0;0;0;;Améliorer la qualité de vie du patient et de sa famille;;Diagnostic tardif ;1;0;0;0;0;0;0;0;0;;Non;Ressources limitées et manque de sensibilisation des patients;Campagne de dépistage et conscientiser les familles;5;VRAI;Oui , beaucoup;Maladie traitable;Oui;Non;;;;Campagne de dépistage et conscientisation des patients
28;Masculin;Sud kivu;celibataire ;9;Universite Officielle de Bukavu ( UOB);OUI;Mes cours a l' universite \ Formation médicale Médias (TV, radio, internet) Littérature scientifique / Livres  Expérience clinique  durant mon  Stages;1;1;0;1;1;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;0;1;1;1;1;1;0;0;;Tabagiste  Consomation d'alocool  Infections (e.g., HPV, hépatite B/C) Facteurs génétiques / Héréditaires;1;1;0;0;1;0;1;0;0;0;0;0;;Faux ;VRAI;Faux ;VRAI;Faux ;Faux ;VRAI;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Examen genetiques pour les familles a risque;1;1;1;0;0;1;0;0;;Filles avant le début de la vie sexuelle;VRAI;si pris en charge dans un centre specialise de cancerologie ;Chirurgie  Chimiotherapie  Immunotherapie  Radiotherapie  traitement paliatif ;1;1;1;0;1;1;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas  Pauvreté / Manque de moyens financiers  ;1;0;1;1;0;1;0;0;0;;Non;Le manque de plateaux techniques appropriées et personnel qualifié;Dépistage précoce et informé la population sur le Cancer que c'est une pathologie mais pas une malédiction, sorcellerie et tant d'autres croyances erronée;1;VRAI;Oui , beaucoup;C'est une maladie;Non ;Non;;;;Que le gouvernement s'implique dans la prise en charge parce que ce sont des soins qui demande énormément des moyens financiers pour tant la population est pauvre
29;Masculin;Sud kivu;celibataire ;9;Universite Officielle de Bukavu ( UOB);OUI;Mes cours a l' universite \ Formation médicale Médias (TV, radio, internet) Littérature scientifique / Livres ;1;1;0;1;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  Meduloblastome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;1;1;1;1;1;1;0;0;;Facteurs génétiques / Héréditaires;0;0;0;0;0;0;1;0;0;0;0;0;;Faux ;VRAI;Faux ;VRAI;Je ne sais pas ;Faux ;Je ne sais pas ;VRAI;Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Évitement des expositions environnementales Examen genetiques pour les familles a risque;0;1;1;0;1;1;0;0;;Femmes de plus de 50 ans ;Faux ;;Chirurgie  Chimiotherapie  Immunotherapie  Therapie cible  Radiotherapie  traitement paliatif ;1;1;1;1;1;1;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas  Facteurs socioculturels (e.g., recours à la médecine traditionnelle)    Pauvreté / Manque de moyens financiers  ;1;1;1;1;1;1;0;0;0;;Je ne sais pas;;Dépistage et campagne de sensibilisation;4;VRAI;Oui , moderement ;Traitable;Non ;Non;;;;Dépistage et sensibilisation
26;Masculin;Sud kivu;celibataire ;9;Universite Officielle de Bukavu ( UOB);OUI;Mes cours a l' universite \ Formation médicale Médias (TV, radio, internet) Littérature scientifique / Livres  Expérience clinique  durant mon  Stages;1;1;0;1;1;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  Meduloblastome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;1;1;1;1;1;1;0;0;;Tabagiste  Consomation d'alocool  Mauvaise alimentation (e.g., excès de viande rouge, faible en fruits/légumes) Infections (e.g., HPV, hépatite B/C) Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires;1;1;1;0;1;1;1;0;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;Faux ;Faux ;VRAI;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Alimentation saine et exercice physique  Évitement des expositions environnementales Examen genetiques pour les familles a risque;1;1;1;1;1;1;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Immunotherapie  Therapie cible  Radiotherapie  traitement paliatif ;1;1;1;1;1;1;0;0;0;;Améliorer la qualité de vie du patient et de sa famille;;Diagnostic tardif ;1;0;0;0;0;0;0;0;0;;Oui;;Lutter contre les facteurs favorisant;3;VRAI;Oui , beaucoup;Maladie traitable;Non ;Non;;;;Dépister et consulter
25;Feminin ;Sud kivu;celibataire ;15;Universite Officielle de Bukavu ( UOB);OUI;Mes cours a l' universite \ Formation médicale;1;0;0;0;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  Cancer de la prostate ;1;1;1;1;1;0;0;0;0;1;0;0;0;;Tabagiste  Consomation d'alocool  Facteurs génétiques / Héréditaires;1;1;0;0;0;0;1;0;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;Faux ;Faux ;VRAI;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Évitement des expositions environnementales;1;1;1;0;1;0;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Immunotherapie  Therapie cible  Radiotherapie  traitement paliatif  Traitement traditionnel / Herbes ;1;1;1;1;1;1;1;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas ;1;1;1;1;0;0;0;0;0;;Oui;;Sensibilisation et dépistage;3;Faux ;Oui , beaucoup;Curable;Non ;Non;;;;Organiser des séances de formations
25;Masculin;Nord kivu;celibataire ;1;Universite catholique de Bukavu ( UCB) ;OUI;Mes cours a l' universite \ Formation médicale Famille / Amis Littérature scientifique / Livres ;1;0;1;1;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  Meduloblastome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;1;1;1;1;1;1;0;0;;Tabagiste  Consomation d'alocool  Mauvaise alimentation (e.g., excès de viande rouge, faible en fruits/légumes) Infections (e.g., HPV, hépatite B/C) Exposition à des substances chimiques / Pollution de la nature;1;1;1;0;1;1;0;0;0;0;0;0;;Faux ;VRAI;Faux ;VRAI;VRAI;Faux ;VRAI;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Alimentation saine et exercice physique  Examen genetiques pour les familles a risque;1;1;1;1;0;1;0;0;;Patients avec un cancer cervical ou autre type ;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Immunotherapie  Therapie cible  Radiotherapie  traitement paliatif ;1;1;1;1;1;1;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas  Facteurs socioculturels (e.g., recours à la médecine traditionnelle)    Pauvreté / Manque de moyens financiers  ;1;1;1;1;1;1;0;0;0;;Oui;;Vaccination, éducation de la population, dépistage gratuites dans des zones à risques et dépistage précoce;3;Faux ;Oui , moderement ;Elle est traitable;Oui;Oui;un oncle /Tente ;Traitement médical conventionnel (e.g., hôpital) ;Décès  ;Campagne et éducation de la population
25;Feminin ;Sud kivu;celibataire ;7;Universite Evangelique en Afrique ;OUI;Mes cours a l' universite \ Formation médicale Expérience clinique  durant mon  Stages;1;0;0;0;1;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  cancer de l'uterus  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;0;0;1;0;1;1;1;0;0;;Tabagiste  Consomation d'alocool  Exposition à des substances chimiques / Pollution de la nature;1;1;0;0;0;1;0;0;0;0;0;0;;Faux ;Je ne sais pas ;Vrai ;VRAI;VRAI;Faux ;Faux ;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac;1;1;1;0;0;0;0;0;;Filles avant le début de la vie sexuelle;Faux ;;Chirurgie  Chimiotherapie  Immunotherapie  traitement paliatif ;1;1;1;0;0;1;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif ;1;0;0;0;0;0;0;0;0;;Oui;;Vaccination et éviter le tabac;2;VRAI;Oui , beaucoup;Maladie traitable;Non ;Non;;;;Adhésion aux traitements et à la prévention Car plus ça évolue peut être metastasique et avoir des répercussions sur d’autre organe ( prolifération)
26;Feminin ;Nord kivu;celibataire ;11;Universite catholique de Graben ;OUI;Mes cours a l' universite \ Formation médicale Médias (TV, radio, internet) Famille / Amis Expérience clinique  durant mon  Stages;1;1;1;0;1;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;0;1;1;1;1;1;0;0;;Tabagiste  Mauvaise alimentation (e.g., excès de viande rouge, faible en fruits/légumes) Infections (e.g., HPV, hépatite B/C) Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires Vieillissement ( age );1;0;1;0;1;1;1;1;0;0;0;0;;Faux ;VRAI;Faux ;VRAI;Je ne sais pas ;Faux ;Faux ;Je ne sais pas ;Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Alimentation saine et exercice physique  Évitement des expositions environnementales;0;1;1;1;1;0;0;0;;Femmes de plus de 50 ans ;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Radiotherapie ;1;1;0;0;1;0;0;0;0;;Soutenir l’accompagnement psychologique et spirituel;;Diagnostic tardif  Niveau d'education de la population bas  Facteurs socioculturels (e.g., recours à la médecine traditionnelle)    Pauvreté / Manque de moyens financiers  ;1;0;0;1;1;1;0;0;0;;Non;Manque des spécialistes en oncologie , la non disponibilité des produits et leurs coûts;Une alimentation saine, arrêter le tabagisme et l’alcoolisme, chercher un moyen de prévention chez les personnes exposées aux rayons ionisants;1;VRAI;Oui , beaucoup;Maladie traitable si diagnostiquée à temps et si disponibilité des produits;Non ;Non;;;;Formation des personnels de santé et éducation de la population
25;Feminin ;Nord kivu;celibataire ;14;Universite catholique de Graben ;OUI;Mes cours a l' universite \ Formation médicale Expérience clinique  durant mon  Stages;1;0;0;0;1;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;; Leucémie    cancer du sein  cancer de l'uterus  Cancer de la prostate  cancer de la peau ;0;1;0;1;0;0;1;0;0;1;1;0;0;;Infections (e.g., HPV, hépatite B/C) Facteurs génétiques / Héréditaires;0;0;0;0;1;0;1;0;0;0;0;0;;Faux ;VRAI;Je ne sais pas ;Faux ;Faux ;Faux ;Faux ;Faux ;Dépistage régulier (e.g., mammographie, frottis cervical) Examen genetiques pour les familles a risque;0;1;0;0;0;1;0;0;;Filles avant le début de la vie sexuelle;Je ne sais pas ;;Chimiotherapie  Immunotherapie  Radiotherapie  traitement paliatif ;0;1;1;0;1;1;0;0;0;;Améliorer la qualité de vie du patient et de sa famille;;Diagnostic tardif  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas  Facteurs socioculturels (e.g., recours à la médecine traditionnelle)   ;1;0;1;1;1;0;0;0;0;;Je ne sais pas;;Depistage regular;4;VRAI;Oui , moderement ;Maladie non traitable;Non ;Non;;;;Le diagnostic rapide Par equipment de personnel’s soignants ,
25;Feminin ;Nord kivu;celibataire ;18;Universite catholique de Graben ;OUI;Mes cours a l' universite \ Formation médicale Médias (TV, radio, internet) Famille / Amis Littérature scientifique / Livres  Expérience clinique  durant mon  Stages;1;1;1;1;1;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  Lymphome  Meduloblastome  cancer de l'uterus  cancer des ovaires  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;1;1;1;1;1;1;1;0;0;;Tabagiste  Consomation d'alocool  Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires;1;1;0;0;0;1;1;0;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;VRAI;Faux ;Je ne sais pas ;VRAI;Vaccination (e.g., contre HPV) Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Évitement des expositions environnementales Examen genetiques pour les familles a risque;1;1;1;0;1;1;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Radiotherapie ;1;1;0;0;1;0;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Niveau d'education de la population bas  Facteurs socioculturels (e.g., recours à la médecine traditionnelle)    Pauvreté / Manque de moyens financiers  ;1;1;1;1;1;1;0;0;0;;Non;prévention faible, diagnostic tardif, accès limité aux traitements;Vaccination HPV + hépatite B,  Lutte contre tabac/alcool,  Dépistage du cancer du col (très prioritaire),  Sensibilisation de la population,  Renforcement des soins de santé primaires;5;VRAI;Oui , beaucoup;Traitable si prise en charge à temps;Non ;Oui;un oncle /Tente ;;;prévention, dépistage simple,  organisation du système
25;Feminin ;Nord kivu;celibataire ;10;Universite catholique de Graben ;OUI;Mes cours a l' universite \ Formation médicale;1;0;0;0;0;0;;Une prolifération incontrôlée de cellules anormales;0;1;0;0;0;;Cancer colorectal   Leucémie   Retinoblastome   cancer du sein  cancer de l'uterus  cancer de poumons  Cancer de la prostate  cancer de la peau ;1;1;1;1;0;0;1;0;1;1;1;0;0;;Tabagiste  Infections (e.g., HPV, hépatite B/C) Exposition à des substances chimiques / Pollution de la nature Facteurs génétiques / Héréditaires Vieillissement ( age );1;0;0;0;1;1;1;1;0;0;0;0;;Faux ;VRAI;Vrai ;VRAI;Je ne sais pas ;Faux ;VRAI;VRAI;Dépistage régulier (e.g., mammographie, frottis cervical) Arrêt du tabac Évitement des expositions environnementales Examen genetiques pour les familles a risque;0;1;1;0;1;1;0;0;;Filles avant le début de la vie sexuelle;VRAI;si detecte et pris en charge au stade precoce ;Chirurgie  Chimiotherapie  Radiotherapie  traitement paliatif ;1;1;0;0;1;1;0;0;0;;Soulager la douleur et les autres symptômes (dyspnée, nausées, anxiété);;Diagnostic tardif  Manque d'accès aux traitements  Insuffisance de ressources (e.g., équipements, personnel specialise dans sa prise en charge ) Pauvreté / Manque de moyens financiers  ;1;1;1;0;0;1;0;0;0;;Non;Manque d’équipements et centre d’oncologie;Depistage;2;VRAI;Oui , beaucoup;Traitable;Non ;Oui;un oncle /Tente ;;;Avoir un centre specialisé d’oncologie
